Date,Open,High,Low,Close,Volume,Market Cap
"Apr 08, 2017",0.000581,0.000608,0.000538,0.000598,"193,141","14,427,500"
"Apr 07, 2017",0.000638,0.000644,0.000559,0.000592,"251,943","15,836,500"
"Apr 06, 2017",0.000645,0.000658,0.000608,0.00064,"249,819","15,975,000"
"Apr 05, 2017",0.000584,0.000653,0.000577,0.000644,"229,181","14,449,600"
"Apr 04, 2017",0.000646,0.000683,0.00057,0.000583,"392,386","15,968,600"
"Apr 03, 2017",0.000606,0.000689,0.000606,0.000646,"319,478","14,962,200"
"Apr 02, 2017",0.000668,0.000738,0.000599,0.000615,"617,226","16,484,700"
"Apr 01, 2017",0.000702,0.000702,0.000636,0.000668,"243,441","17,277,600"
"Mar 31, 2017",0.000688,0.000787,0.000644,0.000697,"844,709","16,914,400"
"Mar 30, 2017",0.000607,0.000714,0.000603,0.000687,"608,691","14,919,600"
"Mar 29, 2017",0.000617,0.000626,0.000579,0.000607,"217,821","15,144,700"
"Mar 28, 2017",0.000536,0.000645,0.000518,0.000628,"401,527","13,140,800"
"Mar 27, 2017",0.000613,0.000622,0.000518,0.000537,"544,728","14,997,600"
"Mar 26, 2017",0.000495,0.000615,0.000486,0.00061,"456,405","12,103,200"
"Mar 25, 2017",0.000505,0.000517,0.000467,0.000495,"280,700","12,336,600"
"Mar 24, 2017",0.000562,0.000586,0.000497,0.000497,"299,515","13,691,700"
"Mar 23, 2017",0.000596,0.000626,0.000495,0.000555,"967,037","14,514,300"
"Mar 22, 2017",0.000567,0.000692,0.000545,0.000581,"960,944","13,796,800"
"Mar 21, 2017",0.000412,0.000646,0.000407,0.000564,"1,418,750","10,023,800"
"Mar 20, 2017",0.000403,0.000426,0.000388,0.000412,"94,529","9,791,970"
"Mar 19, 2017",0.000377,0.000419,0.000363,0.000403,"123,415","9,127,960"
"Mar 18, 2017",0.000388,0.000405,0.000353,0.000375,"203,471","9,397,900"
"Mar 17, 2017",0.000429,0.000429,0.000379,0.000388,"254,262","10,372,000"
"Mar 16, 2017",0.000393,0.00046,0.000393,0.00043,"398,863","9,503,350"
"Mar 15, 2017",0.000408,0.000411,0.000388,0.000393,"108,753","9,849,420"
"Mar 14, 2017",0.000414,0.000415,0.000388,0.000408,"189,916","9,980,280"
"Mar 13, 2017",0.000367,0.000421,0.000365,0.000404,"476,951","8,843,200"
"Mar 12, 2017",0.000331,0.000386,0.00033,0.000367,"159,884","7,955,860"
"Mar 11, 2017",0.000315,0.000345,0.000308,0.000332,"59,015","7,555,790"
"Mar 10, 2017",0.000326,0.000346,0.000297,0.000315,"152,785","7,810,340"
"Mar 09, 2017",0.000319,0.000344,0.000316,0.000326,"38,319","7,639,140"
"Mar 08, 2017",0.000346,0.000359,0.000318,0.000326,"114,309","8,270,700"
"Mar 07, 2017",0.000378,0.00038,0.000343,0.000346,"62,711","9,023,950"
"Mar 06, 2017",0.000356,0.00038,0.000345,0.000378,"49,651","8,487,500"
"Mar 05, 2017",0.000363,0.000367,0.000347,0.000349,"47,053","8,657,100"
"Mar 04, 2017",0.000383,0.000383,0.00035,0.000363,"77,945","9,119,250"
"Mar 03, 2017",0.000387,0.0004,0.000352,0.000383,"161,049","9,190,370"
"Mar 02, 2017",0.000357,0.0004,0.000333,0.000397,"192,232","8,470,430"
"Mar 01, 2017",0.00032,0.000414,0.000311,0.000356,"389,652","7,593,710"
"Feb 28, 2017",0.000323,0.00033,0.0003,0.00032,"53,504","7,641,660"
"Feb 27, 2017",0.000326,0.000339,0.00031,0.000322,"94,250","7,708,250"
"Feb 26, 2017",0.000311,0.000344,0.000309,0.000327,"36,629","7,350,880"
"Feb 25, 2017",0.000328,0.000328,0.000307,0.000311,"30,732","7,726,590"
"Feb 24, 2017",0.00033,0.000344,0.000307,0.000328,"64,747","7,766,270"
"Feb 23, 2017",0.000318,0.000349,0.00031,0.000328,"93,783","7,471,180"
